"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa",0.036067,-0.002207,0.088793,0.037075
"COVID-19","Northern Africa and Western Asia",0.085973,0.055037,0.110772,0.083482
"COVID-19","Eastern Africa",0.036481,0.016461,0.059618,0.038441
"COVID-19","Western Africa",0.049281,0.028966,0.071064,0.048663
"COVID-19","Southern Africa",0.415378,0.142529,1.006085,0.338514
"COVID-19","Central and Southern Asia",0.224113,0.075317,0.414153,0.202684
"COVID-19","Eastern and South-Eastern Asia",0.068462,0.049833,0.093195,0.068159
"COVID-19","Eastern and Southern Europe",0.359132,0.249408,0.499853,0.343928
"COVID-19","Latin America and the Caribbean",0.244915,0.154208,0.321666,0.246308
"COVID-19","Oceania",0.038237,-0.012411,0.108053,0.035854
"Cholera","Middle Africa",0.193887,0.119206,0.469235,0.16386
"Cholera","Northern Africa and Western Asia",0.396403,0.327653,0.558873,0.391793
"Cholera","Eastern Africa",0.380179,0.268536,0.927553,0.32762
"Cholera","Western Africa",0.168867,0.136608,0.244291,0.166714
"Cholera","Central and Southern Asia",0.04188,0.031549,0.05582,0.047954
"Cholera","Latin America and the Caribbean",0.441107,0.069915,4.115695,0.084493
"HPV","Middle Africa",14.358917,11.912199,17.122115,14.266915
"HPV","Northern Africa and Western Asia",7.260744,6.74608,7.771729,7.268403
"HPV","Eastern Africa",22.351969,21.220092,23.5018,22.372846
"HPV","Western Africa",11.529468,10.4251,12.659299,11.534082
"HPV","Southern Africa",12.39225,11.545381,13.273274,12.391968
"HPV","Central and Southern Asia",9.403668,8.718181,10.089673,9.387428
"HPV","Eastern and South-Eastern Asia",8.241563,7.399247,9.077924,8.232813
"HPV","Eastern and Southern Europe",6.771405,6.195123,7.270178,6.775173
"HPV","Latin America and the Caribbean",12.87095,12.356718,13.358279,12.880255
"HPV","Oceania",12.150097,5.991255,26.181152,10.983097
"HepB","Middle Africa",5.79325,4.946106,6.81648,5.777454
"HepB","Northern Africa and Western Asia",3.878398,3.410452,4.3715,3.866464
"HepB","Eastern Africa",6.451519,5.768491,7.309531,6.439053
"HepB","Western Africa",6.480524,5.495349,7.592279,6.449319
"HepB","Southern Africa",5.954565,4.823356,7.215956,5.947879
"HepB","Central and Southern Asia",3.502029,2.963372,4.151297,3.484019
"HepB","Eastern and South-Eastern Asia",6.285287,5.323113,7.329386,6.259949
"HepB","Eastern and Southern Europe",2.377052,2.100822,2.70338,2.365693
"HepB","Latin America and the Caribbean",1.099872,0.963452,1.27048,1.095521
"HepB","Oceania",5.884431,4.987508,6.881838,5.859053
"Hib","Middle Africa",5.740982,3.99806,7.584066,5.750446
"Hib","Northern Africa and Western Asia",1.542637,1.264522,1.850057,1.535166
"Hib","Eastern Africa",3.00368,2.52328,3.684814,2.975217
